# REQ-056: K-Maxwell first moment inside STANDARD Adam. SHA 365c392d + KMaxwellAdam (apply_req056_opt.py).
# 2 nodes (wdkrxgq+q4zk6y3, 8xH100, <=2-node ceiling), venv019 torch 2.10.0+cu128.
# beta1=0.9, beta2=0.999, eps=1e-8, ZERO weight decay, all arms. Intervention on the 72 blocks.*.weight matrices;
# ordinary Adam (kmaxwell_adam adam-mode, no shadow) on embed/proj/rest, identical across arms.
# Base 0->1000 ordinary Adam with shadow K/age buffers accumulating; fork@1000 -> 3249 (endpoint val@3250).
# LR pilot (baseline Adam, seed 100, 0->3249): 1e-4 -> 4.637, 3e-4 -> 3.842, 1e-3 -> 3.726 (BEST). Frozen lr=1e-3.
# Parity: KMaxwellAdam adam-mode AND 1-stream-0.9 kmaxwell == torch.optim.Adam to 4.4e-16 (machine eps).
# Age schedule (from REQ-054 decays/weights over [1000,3250]): scheduled 58.0->26.0; age-matched EMA realized age
#   tracks the mixture realized age within +0.4..0.8 (finite-history match) -> KM-agema isolates kernel SHAPE.
#
# ENDPOINT val_loss @ step 3250 (3 seeds):
seed	adam	kmaxwell	agema
0	3.58041	3.57390	3.58160
1	3.74537	3.75555	3.76390
2	3.75034	3.76601	3.77290
#
# PER-SEED PAIRED DIFFS (negative = better than baseline Adam):
seed	KM-Adam	agema-Adam	KM-agema
0	-0.00651	+0.00119	-0.00770
1	+0.01018	+0.01853	-0.00835
2	+0.01567	+0.02256	-0.00689
#
# ACROSS-SEED VERDICT (practical-equivalence margin = 0.0005 loss):
# K-Maxwell - Adam : mean=+0.00645 +/- 0.00943 (n=3)  -> INCONCLUSIVE / no improvement (sign flips s0<0, s1,s2>0; |mean|<std; fails margin)
# age-matched-Adam : mean=+0.01409 +/- 0.00927 (n=3)  -> REGRESSION (all 3 seeds worse; slow scheduled 1st moment hurts Adam)
# K-Maxwell - agema: mean=-0.00765 +/- 0.00060 (n=3)  -> IMPROVEMENT (all 3 seeds; multi-timescale beats single age-matched EMA)
#
# VERDICT: K-Maxwell does NOT reliably improve standard Adam at the frozen LR (inconclusive, leans slight regression).
# Multiple timescales DO matter vs a single age-matched EMA (KM>agema, all seeds, echoing REQ-054's Muon result),
# but a slow scheduled first moment alone regresses Adam; beta1=0.9 is already competitive. The Muon K-Maxwell
# benefit does not transfer to Adam's first moment here.
#
# STEP TIME (step_avg, ms; shadow=8 EMA streams overhead):  adam 168-208 | kmaxwell 177-225 (+~5-8%) | agema 170-210
# Nonfinite: none (all 9 arms + 3 bases + 3 pilots completed exit=0 with finite val throughout).
