# REQ-033 READOUT — momentum benefit vs batch, laid against the frozen bi-Maxwell curve. Benefit = final_val(kernel) - final_val(arm A single-EMA), within batch size, @3250. Negative = beats single-EMA.
batch	batch_tokens	benefit(C-A)_annealShipped	benefit(D-A)_annealRescaled	benefit(B-A)_bimax	bimax-mu0(REQ-029 ctx)
0.25x	131072	+0.00063	+0.10553	-0.00492	(1x: -0.01063)
0.5x	262144	-0.00368	+0.01003	-0.00380	(4x: -0.00438)
2x	1048576	-0.00513	-0.00209	-0.00084	(8x: -0.00233 / 16x: ~0)
#
# SHAPE (the deliverable; noise floor ~2e-4 from REQ-027, read |delta|<~5e-4 as noise):
# * B (bimaxwell vs single-EMA): benefit decays toward zero as batch grows (-0.00492 -> -0.00380 -> -0.00084). Same denoiser shape as REQ-029's bimax-mu0 curve. Bimaxwell's edge is batch-specific and absorbed by large-batch averaging.
# * C (annealed SHIPPED ages): the OPPOSITE trend of B. At 0.25x C ~= A (+0.0006, noise); the benefit GROWS with batch (-0.00368 @0.5x, -0.00513 @2x). The 1x-tuned anneal gives no small-batch denoising but helps at >=0.5x.
#   -> the annealed kernel is NOT simply a denoiser whose gain vanishes at large batch; within [0.25x,2x] its single-EMA-relative benefit is flat-to-growing, not decaying. It does NOT reproduce bi-Maxwell's decay-to-zero within this window.
# * D (annealed ages RESCALED x (1x/batch)): the "obvious repair" BACKFIRES at small batch. D is dramatically WORSE than A at 0.25x (+0.10553) and 0.5x (+0.01003), only reaching ~A at 2x (-0.00209).
#   Over-lengthening the memory to compensate small-batch noise (mean age 232->104 at 0.25x) cripples the kernel; it does NOT restore or improve on the shipped ages. Token-reparameterisation-by-age-scaling is refuted as a repair here.
#
# One-line: within 0.25x-2x, bi-Maxwell (B) denoises and decays like REQ-029; the shipped annealed kernel (C) does the opposite (benefit flat-to-growing, ~0 at 0.25x, best at 2x); rescaling its ages to the batch (D) makes it much worse at small batch. n=1/cell; the 0.5x C-vs-A (-0.0037) and B-vs-A (-0.0038) sit just above noise; D's small-batch penalty is far above noise and robust.
