# REQ-043 priority 3 (alignment ratio) + priority 2 (second training state). align_ratio = ||Sum_t d_t a_t^T||_F / (||d||_F ||a||_F) = ||W.grad||_F/(||d||_F ||a||_F).
# align_deficit = mean over 12 layers of log10( ((q+k)/2) / v ) of align_ratio. Measured at a SINGLE consistent state -> the state-artifact-free version of band-25's shortfall.
# KEY IDENTITY (a_rms identical for q/k/v, band 21): align_deficit == grad_deficit - d_deficit EXACTLY. So the alignment ratio IS band-25's missing factor.
#
seed	align_deficit	grad_deficit	d_deficit	grad_minus_d(=shortfall)	identity_gap
0	-0.1845	-0.3510	-0.1662	-0.1848	0.00028
1	-0.1996	-0.3513	-0.1512	-0.2000	0.00042
2	-0.1883	-0.3580	-0.1694	-0.1886	0.00027
3	-0.1860	-0.3439	-0.1576	-0.1863	0.00030
# n=4: align_deficit = -0.1896 dex (0.646x), across-seed sd = 0.0059 (band-25 filed shortfall -0.240+-0.041; this single-state value is tighter and artifact-free)
#
# DEPTH PROFILE (fork-1500, align_deficit by layer, mean over 4 seeds):
# L0=-0.101 L1=-0.122 L2=-0.202 L3=-0.185 L4=-0.223 L5=-0.191 L6=-0.212 L7=-0.206 L8=-0.197 L9=-0.204 L10=-0.205 L11=-0.225
# fork-1500 depth slope (n=4) = -0.00751 dex/layer  (band-25 filed -0.0176; state-corrected -0.0117 CI[-0.0169,-0.0064])
#
# === PRIORITY 2: SECOND STATE (seed 0, fork-1500 vs fork-2000) — the now-REQUIRED test of the state confound ===
# fork-1500: align_deficit mean=-0.1845  depth slope=-0.00909 dex/layer
# fork-2000: align_deficit mean=-0.1905  depth slope=-0.00405 dex/layer
# -> ALIGNMENT depth-slope IS state-dependent: drifts +0.01009 dex/layer per 1000 steps (flattens 1500->2000). Confirms band-25's ~34% state-artifact concern: cross-state comparison manufactures part of the depth trend. Single-state slope is the artifact-free value.
